date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2023-01-15,August,4887.6467,Meta Ads,,0.3763,0.879,0.0104,2.9774,Agriculture
2023-11-12,March,13714.6016,Grainger,Office Supplies,0.7055,0.9653,0.0092,2.9013,Nonprofit
2023-03-11,August,1.0,UPS,Transportation Services,0.0299,1.7808,0.0093,1.4131,Construction
2023-10-31,August,1.0,Shell Oil,Food & Beverage Distribution,0.0319,0.0,0.0018,5.6825,Retail Trade
2023-05-18,December,3615.6101,Hilton Hotels,Airlines,0.3074,1.3475,0.0,2.1792,Wholesale Trade
2023-03-17,November,438.3156,Sysco Foods,Wholesale Clubs,0.1608,0.611,0.0,3.4938,Construction
2023-08-08,January,3647.4086,Delta Airlines,Car Rental,0.3118,2.8251,0.0089,0.0,Retail Trade
2023-09-11,September,4155.2008,Sysco Foods,Hotels & Lodging,0.3339,0.7328,0.0086,3.2045,Professional Services
2023-04-21,February,11471.8503,Delta Airlines,Retail - General,0.6144,0.7119,0.0092,3.2555,Retail Trade
2024-07-26,December,3105.8897,Hertz,Wholesale Clubs,0.2935,1.4074,0.0058,2.077,Agriculture
2024-05-05,May,427.6347,Comcast Business,Car Rental,0.1589,1.3776,0.0126,2.1534,Media & Entertainment
2024-02-22,February,625.7927,Delta Airlines,Professional Services,0.1647,3.1122,0.0022,0.0,Wholesale Trade
2024-11-28,November,1.0,FedEx,Airlines,0.0,1.8556,0.0031,1.2938,Professional Services
2023-11-17,January,1130.7475,UPS,Transportation Services,0.1888,0.0,0.0082,7.6811,Nonprofit
2023-01-08,March,4549.1423,Verizon,Airlines,0.3533,0.9837,0.0099,2.8798,Professional Services
2024-02-10,June,2680.2996,Uber Business,Office Supplies,0.2672,1.2949,0.0096,2.2596,Real Estate
2023-03-28,November,1.0,Home Depot,Shipping & Freight,0.0436,1.5029,0.0086,1.9486,Transportation & Logistics
2024-06-15,January,1.0,Microsoft,Transportation Services,0.0617,0.5902,0.0,3.5446,Technology
2024-03-25,June,5992.8317,Other,Shipping & Freight,0.4169,0.5272,0.0108,3.6628,Healthcare
2023-01-28,August,5212.9723,Staples,Hotels & Lodging,0.3882,1.4857,0.0066,1.9774,Healthcare
2023-08-15,February,3048.2388,FedEx,Industrial Supplies,0.2909,0.5321,0.0088,3.6537,Real Estate
2023-08-20,May,4555.8596,Shell Oil,Hotels & Lodging,0.3582,0.8062,0.0095,3.0955,Food Services & Restaurants
2024-03-30,April,217.6443,Comcast Business,Airlines,0.1584,1.9112,0.0,1.2524,Professional Services
2024-11-15,August,4775.1186,Comcast Business,Professional Services,0.3743,1.1394,0.0,2.5693,Professional Services
2023-08-07,November,1353.5367,Costco Wholesale,Fuel & Gas,0.2023,0.6625,0.0128,3.3855,Retail Trade
2024-10-13,February,16546.0543,UPS,Car Rental,0.7707,1.3364,0.0144,2.2331,Manufacturing
2023-06-13,December,4662.9723,Other,Airlines,0.3642,2.8614,0.0,0.0,Healthcare
2023-08-19,May,1.0,Amazon Business,Hotels & Lodging,0.0,1.8166,0.0067,1.3636,Retail Trade
2023-10-27,December,6474.6613,Hilton Hotels,Office Supplies,0.4361,0.193,0.0117,4.4643,Professional Services
2024-06-29,February,4972.7833,Marriott,Professional Services,0.3829,0.7821,0.0076,3.1026,Finance & Insurance
2024-11-23,January,5491.7352,Staples,Technology & Software,0.3979,1.3233,0.0075,2.2345,Manufacturing
2024-08-30,September,1.0,Hilton Hotels,Digital Advertising,0.0,0.5727,0.0092,3.5712,Wholesale Trade
2023-09-26,January,1.0,Uber Business,Technology & Software,0.0,2.8106,0.0,0.0,Food Services & Restaurants
2023-05-24,July,693.6479,Amazon Business,Digital Advertising,0.1724,2.0421,0.0068,0.9479,Healthcare
2023-08-23,September,1.0,Shell Oil,Wholesale Clubs,0.0,0.1652,0.0097,4.5289,Manufacturing
2023-04-16,April,2007.77,Hilton Hotels,Wholesale Clubs,0.2324,1.8236,0.0043,1.352,Technology
2023-07-24,March,1.0,Office Depot,Shipping & Freight,0.0868,0.5407,0.0021,3.6329,Transportation & Logistics
2023-03-31,December,2686.1392,Amazon Business,Airlines,0.2679,1.6369,0.0069,1.7549,Construction
2024-07-14,December,1.0,Google Ads,Shipping & Freight,0.1466,0.6191,0.0019,3.4635,Construction
2024-08-10,June,578.7704,FedEx,Airlines,0.1633,0.7011,0.006,3.3109,Healthcare
2024-08-26,January,3863.2263,Best Buy,Shipping & Freight,0.3218,1.6299,0.009,1.7648,Retail Trade
2024-11-09,December,9864.7679,Enterprise Rent-A-Car,Office Supplies,0.5543,1.4042,0.0009,2.1068,Finance & Insurance
2023-04-07,March,1226.9592,Other,Shipping & Freight,0.1957,2.6214,0.0074,0.0409,Technology
2024-11-29,August,11508.7097,Verizon,Hotels & Lodging,0.6371,1.0928,0.0018,2.6728,Healthcare
2023-12-31,February,1915.5991,Google Ads,Airlines,0.2271,0.0344,0.0049,4.7631,Nonprofit
2024-04-08,October,3243.1355,Meta Ads,Retail - General,0.2998,1.7413,0.0,1.4905,Media & Entertainment
2024-07-01,October,1.0,United Airlines,Professional Services,0.1407,0.4658,0.0058,3.8668,Transportation & Logistics
2024-03-11,February,4326.8187,Best Buy,Hotels & Lodging,0.344,1.2315,0.0084,2.359,Retail Trade
2023-11-12,January,1216.7294,Office Depot,Office Supplies,0.194,1.7017,0.0,1.5453,Retail Trade
2023-01-14,January,1.0,Staples,Professional Services,0.1328,1.6519,0.0026,1.5869,Media & Entertainment
2023-07-03,February,4601.1335,Walmart,Fuel & Gas,0.3606,0.9142,0.012,2.9446,Wholesale Trade
2024-01-23,April,1.0,Other,Shipping & Freight,0.112,0.2555,0.0044,4.2949,Construction
2024-07-04,November,1570.2166,Home Depot,Fuel & Gas,0.212,2.0198,0.0078,0.995,Food Services & Restaurants
2023-10-01,June,1.0,Comcast Business,Telecommunications,0.1327,2.0836,0.0114,0.814,Retail Trade
