date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2024-04-28,November,1.0,Other,Airlines,0.0,1.7063,0.0006,1.5358,Manufacturing
2024-12-29,September,3627.7992,Walmart,Food & Beverage Distribution,0.3081,1.6081,0.0109,1.7847,Professional Services
2024-08-18,March,3944.5833,Home Depot,Shipping & Freight,0.3263,0.658,0.0047,3.3924,Media & Entertainment
2023-03-19,August,1.0,Amazon Business,Fuel & Gas,0.0,0.1422,0.0084,4.6099,Technology
2023-12-04,October,7746.6981,AT&T,Car Rental,0.4831,1.915,0.0096,1.243,Manufacturing
2024-11-16,December,4448.4585,Hilton Hotels,Retail - General,0.3485,1.6092,0.0,1.7786,Construction
2023-11-23,March,12801.4909,Office Depot,Wholesale Clubs,0.7046,1.5373,0.0091,1.8796,Food Services & Restaurants
2024-05-14,November,1.0,Uber Business,Hotels & Lodging,0.0534,1.9831,0.0039,1.0529,Healthcare
2023-03-06,September,8287.5388,Verizon,Office Supplies,0.4966,0.0748,0.0103,4.7031,Retail Trade
2023-09-25,January,910.4673,Hilton Hotels,Telecommunications,0.1791,2.1141,0.0073,0.7936,Manufacturing
2023-07-14,March,11910.8744,Walmart,Wholesale Clubs,0.6714,2.7103,0.0141,0.0,Transportation & Logistics
2023-07-10,July,2530.0834,Costco Wholesale,Industrial Supplies,0.2523,2.4607,0.0023,0.2843,Construction
2023-07-19,September,5447.7344,Delta Airlines,,0.3926,1.3794,0.0046,2.1408,Retail Trade
2023-04-04,May,3558.0487,Costco Wholesale,Retail - General,0.3058,1.8406,0.0159,1.3273,Transportation & Logistics
2023-08-12,April,721.5084,Amazon Business,Fuel & Gas,0.174,1.8957,0.0106,1.2638,Finance & Insurance
2023-12-05,May,1.0,Other,Shipping & Freight,0.0122,0.0,0.0007,5.8582,Retail Trade
2024-06-09,June,9352.7049,Microsoft,Food & Beverage Distribution,0.537,2.2121,0.0086,0.5922,Retail Trade
2023-04-13,September,10584.372,Google Ads,Shipping & Freight,0.5686,2.48,0.0043,0.2165,Construction
2023-03-03,July,1.0,Other,Wholesale Clubs,0.0301,1.8039,0.0041,1.3769,Retail Trade
2023-05-12,September,1086.0213,Enterprise Rent-A-Car,Retail - General,0.1876,1.625,0.0104,1.767,Wholesale Trade
2023-04-16,October,1.0,Hilton Hotels,Shipping & Freight,0.0,1.1781,0.0,2.4251,Nonprofit
2024-08-03,January,4816.849,Amazon Business,Shipping & Freight,0.3748,2.3279,0.0039,0.4693,Real Estate
2024-02-29,March,5659.9074,Walmart,Airlines,0.4078,1.1574,0.004,2.5078,Construction
2023-08-04,November,6852.778,UPS,Digital Advertising,0.4492,0.5726,0.0,3.5833,Professional Services
2023-12-19,May,4263.6008,Amazon Business,Retail - General,0.3439,2.4362,0.0015,0.3487,Real Estate
2023-07-21,September,2203.5868,Grainger,Professional Services,0.2409,1.3684,0.0064,2.1589,Finance & Insurance
2024-11-16,March,4201.0499,Staples,Technology & Software,0.34,2.5019,0.0024,0.1544,Construction
2024-08-13,December,1.0,Staples,Wholesale Clubs,0.0,0.232,0.0052,4.3537,Government & Public Sector
2024-01-16,June,1.0,Costco Wholesale,Office Supplies,0.0,1.7502,0.0071,1.4721,Technology
2023-09-23,June,4199.3768,Other,,0.3393,0.0,0.0133,5.1718,Healthcare
2023-04-13,March,677.8087,AT&T,Shipping & Freight,0.1679,0.9174,0.0144,2.9442,Agriculture
2024-05-01,February,8438.172,Amazon Business,Retail - General,0.4976,0.6952,0.006,3.3191,Construction
2024-04-27,September,2493.0367,Best Buy,Wholesale Clubs,0.2485,2.401,0.015,0.3797,Professional Services
2023-08-23,May,1.0,Grainger,,0.0599,1.7886,0.0057,1.4096,Technology
2023-06-18,July,1.0,FedEx,Hotels & Lodging,0.0584,1.6575,0.0085,1.5863,Construction
2024-02-04,July,1.0,UPS,Fuel & Gas,0.0557,1.3113,0.0016,2.2432,Retail Trade
2024-08-13,August,9860.0728,Office Depot,Transportation Services,0.5504,1.1048,0.0078,2.6373,Professional Services
2024-04-09,December,1731.5745,Hilton Hotels,Office Supplies,0.2148,1.5882,0.0046,1.8173,Nonprofit
2023-07-07,April,2198.7408,Delta Airlines,Airlines,0.2391,0.4526,0.0054,3.887,Agriculture
2024-01-25,June,1515.5715,Other,Industrial Supplies,0.2107,0.8466,0.0,3.0247,Hospitality & Tourism
2024-12-26,October,3633.9302,Grainger,Retail - General,0.3082,1.3594,0.0062,2.1705,Real Estate
2024-09-10,July,3718.7624,Office Depot,Shipping & Freight,0.3119,1.4052,0.0068,2.0826,Manufacturing
2024-01-15,September,458.3342,Walmart,Office Supplies,0.1629,1.3662,0.0089,2.1616,Professional Services
2023-09-03,October,1.0,UPS,Shipping & Freight,0.0,1.1929,0.0019,2.4168,Professional Services
2023-03-11,May,8631.4648,Google Ads,Technology & Software,0.5074,0.313,0.0103,4.0953,Energy & Utilities
2023-01-04,December,8150.4966,Shell Oil,Shipping & Freight,0.4919,0.2706,0.0063,4.2231,Healthcare
2023-03-31,February,6003.6158,Amazon Business,Wholesale Clubs,0.4171,0.668,0.0161,3.3672,Food Services & Restaurants
2024-06-29,September,9936.9914,FedEx,Office Supplies,0.5632,2.2628,0.0116,0.5081,Real Estate
2024-10-01,November,2894.9436,Staples,Office Supplies,0.2791,0.7822,0.0128,3.0993,Government & Public Sector
2024-12-30,May,4751.5864,Hilton Hotels,Office Supplies,0.3729,1.8067,0.0006,1.3667,Construction
2024-01-02,May,1149.2244,Verizon,Shipping & Freight,0.1923,2.1724,0.0096,0.6765,Finance & Insurance
2023-05-08,April,1.0,Microsoft,Construction Materials,0.0,0.6666,0.006,3.3809,Professional Services
2024-05-10,September,8942.2212,Verizon,Shipping & Freight,0.5206,1.3484,0.0027,2.1706,Manufacturing
2024-11-09,February,11093.975,Enterprise Rent-A-Car,Wholesale Clubs,0.5865,1.1659,0.0124,2.4566,Healthcare
2023-05-27,May,5950.5221,Comcast Business,,0.4153,0.6643,0.0007,3.3831,Healthcare
2023-03-03,January,3420.2892,Home Depot,Digital Advertising,0.3053,2.2126,0.0045,0.5819,Wholesale Trade
2023-04-01,May,3053.0656,Uber Business,Telecommunications,0.2923,3.6254,0.0056,0.0,Professional Services
2024-12-12,April,1.0,Hilton Hotels,Office Supplies,0.0888,1.8685,0.0143,1.2871,Retail Trade
2024-04-29,July,1.0,Other,Professional Services,0.1105,0.4728,0.0,3.8428,Professional Services
2024-12-02,March,1.0,Amazon Business,Industrial Supplies,0.1412,3.3374,0.0072,0.0,Transportation & Logistics
2024-02-10,July,1.0,UPS,Wholesale Clubs,0.0738,1.6373,0.0024,1.735,Food Services & Restaurants
2024-06-12,December,1.0,UPS,Airlines,0.1142,0.4992,0.0042,3.7814,Construction
2024-12-07,March,1.0,Hilton Hotels,Wholesale Clubs,0.1294,1.7509,0.0129,1.4645,Technology
2024-06-23,July,10158.8945,UPS,Industrial Supplies,0.564,1.8905,0.0138,1.2726,Retail Trade
2024-07-27,January,12302.423,Office Depot,Food & Beverage Distribution,0.6921,0.0016,0.0048,4.8405,Construction
2023-07-30,April,1.0,Meta Ads,Airlines,0.1416,0.4151,0.0,3.9027,Agriculture
2023-06-20,September,1.0,Staples,Office Supplies,0.0963,0.5425,0.0005,3.632,Food Services & Restaurants
2024-11-13,January,6933.7953,Sysco Foods,Shipping & Freight,0.4517,0.1586,0.0084,4.5743,Professional Services
2023-10-29,June,1.0,Hilton Hotels,Technology & Software,0.1429,2.1308,0.0,0.7244,Manufacturing
